Variable,VIF
MnBP,5.485177203057817
MCPP,5.43377319188877
waist,4.5564833874972175
HB,4.022281171589083
RBC,3.8057470326600975
age,3.802005217590738
BMI,3.72953283410993
ALT,2.559574497153426
water_filter,2.428832717555849
sex_Male,2.273961167644681
AST,2.2536401415128804
water_tap,2.1638849735494463
fast_food,2.049513409896997
OHFlu,1.8803552922814468
can_food,1.7390424991099358
sbp,1.6738036790767674
cupnoodle,1.6674753145770222
OHP,1.6169998263243677
microwave_food,1.485988320104994
pet_drink,1.4794088514239547
GGT,1.4755533366880866
BPb,1.4636599633599463
OHPhe,1.4318226670033216
BHg,1.3965297170248085
HDL,1.3828285962879525
PP,1.381801229168672
wrapped_food,1.3714834472350141
large_fish,1.3708995576445053
MP,1.3549594110706769
CHOL,1.3406476805852772
crustacean,1.3205308245724394
shellfish,1.3009203675164875
fish,1.2898379061466765
coatingcase,1.282300609170899
WBC,1.2810272187386886
PLT,1.2786070174798565
Uhg,1.259879891047771
fryingpan,1.2139575545161627
coatingpot,1.2049689295253148
DEHP_sum,1.203919951459834
popcorn,1.201273469064675
NAP,1.174541520837219
paper_cup,1.1623025856129856
water_well,1.1438754002085367
EOS,1.1267224521661814
fridge_case_plastic,1.124575742680802
water_spring,1.1184408296525594
ricepot,1.0967158213220536
MBzP,1.093937923349223
fridge_case_metal,1.0735330777923404
fridge_case_others,1.0720642979288926
EP,1.064929972472531
htn_med_yes,1.0637593856505594
BPA,1.0592717909068847
freezer_case_ziploc,1.0592712054442557
freezer_case_metal,1.0524153122684097
water_others,1.050275286733868
MEP,1.046526583466159
BP,1.0329420246378147
freezer_case_others,1.0290552762921934
fridge_case_ziploc,1.0287622753257062
BPF,1.026022267297256
BPS,1.0192036126526884
TCS,1.015763143881915
